compound score,media source,tweet date,tweet negative score,tweet neutral score,tweet positive score,tweet source,tweet text
0.743,@CNN,Tue Apr 10 22:31:04 +0000 2018,0.0,0.717,0.283,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","JUST IN: Michael Cohen says FBI were 'professional, courteous, respectful' in raids, counter to Trump's depiction o… https://t.co/hdVfnUxr4M"
0.0,@CNN,Tue Apr 10 22:25:23 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Why trillion-dollar budget deficits may be on a fast track to $2 trillion https://t.co/ZJlTG0DU6r https://t.co/0kox8paOzu
-0.4019,@CNN,Tue Apr 10 22:08:55 +0000 2018,0.172,0.828,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Congress, let Facebook fix its own problems | By Alice Stewart via @CNNOpinion https://t.co/67U28UPTdL https://t.co/2IgkO7ooYa"
-0.3089,@CNN,Tue Apr 10 22:07:06 +0000 2018,0.124,0.876,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Dan Sullivan asks Mark Zuckerberg, ""Is Facebook too powerful?"" Zuckerberg didn't say yes or no… https://t.co/C8p20Pxvvt"
0.0,@CNN,Tue Apr 10 22:07:04 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",What happens to communications swept up in the FBI raid on the office and hotel room of Michael Cohen? That's where… https://t.co/ivzRY7eUfC
0.0,@CNN,Tue Apr 10 22:00:05 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Facebook CEO Mark Zuckerberg confirmed during his testimony before Congress, that his company is cooperating with s… https://t.co/pa19jTmP1z"
-0.4404,@CNN,Tue Apr 10 21:57:07 +0000 2018,0.132,0.868,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Facebook's data scandal has gotten a lot more personal for millions of users. Here's what to do if your information… https://t.co/g0dzBHGhO5
0.0,@CNN,Tue Apr 10 21:52:02 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Prices at the pump are likely to be 14% higher than last summer — an average of $2.74 per gallon, the US government… https://t.co/YAqRJdiDG7"
-0.5994,@CNN,Tue Apr 10 21:46:43 +0000 2018,0.234,0.766,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","When Sen. Chris Coons confronted Mark Zuckerberg about fake profiles, Zuckerberg said Facebook needs to do a better… https://t.co/hxkpmdeFGk"
-0.2263,@CNN,Tue Apr 10 21:36:43 +0000 2018,0.106,0.894,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A lawsuit against Harvard on behalf of Asian-American students moved a step further as a US district judge proposed… https://t.co/orkd3Wi3zB
0.3182,@CNN,Tue Apr 10 21:29:19 +0000 2018,0.0,0.881,0.119,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",America made a promise in 1968. It's time to keep it. | By Heather K. Way via @CNNOpinion https://t.co/Bv3jvsilaj https://t.co/7EpdiAlOue
-0.3612,@CNN,Tue Apr 10 21:25:25 +0000 2018,0.213,0.681,0.106,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","As US President Donald Trump promised to respond ""forcefully"" to a suspected chemical attack in Syria within ""24 or… https://t.co/k7xe2PkdeQ"
0.0516,@CNN,Tue Apr 10 21:21:20 +0000 2018,0.111,0.769,0.12,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Chinese investment in the United States plummeted in 2017. And that was before a trade fight erupted between the tw… https://t.co/ewYiDY4m8Y
