,lat,lng,city,country,temp_max,humidity,wind_speed,cloudiness,Date
182,-4.83,-4.19,tabou,CI,81.83,100.0,10.65,44.0,2018-04-03
183,59.84,171.1,tilichiki,RU,33.32,81.0,11.43,0.0,2018-04-03
184,35.78,114.34,yigou,CN,43.31,57.0,16.35,48.0,2018-04-03
185,24.91,8.83,gat,SN,77.0,65.0,9.17,0.0,2018-04-03
186,9.19,-20.49,bubaque,GW,73.4,78.0,11.41,0.0,2018-04-03
187,66.66,100.61,tura,IN,66.44,84.0,1.59,0.0,2018-04-03
188,83.36,98.03,khatanga,RU,-24.11,36.0,3.38,24.0,2018-04-03
189,41.04,-75.42,east stroudsburg,US,41.0,100.0,4.7,92.0,2018-04-03
190,52.48,41.69,satinka,RU,32.6,98.0,12.77,92.0,2018-04-03
191,16.36,-72.63,jacmel,HT,84.2,62.0,11.41,40.0,2018-04-03
192,57.72,-59.71,saint-augustin,FR,60.8,71.0,10.29,88.0,2018-04-03
193,6.49,61.73,ugoofaaru,MV,84.53,100.0,5.73,20.0,2018-04-03
194,50.87,96.21,saryg-sep,RU,14.33,65.0,5.5,68.0,2018-04-03
195,-19.1,-62.77,abapo,BO,69.41,88.0,2.15,92.0,2018-04-03
196,16.42,76.02,muddebihal,IN,73.82,66.0,8.41,0.0,2018-04-03
197,-22.87,171.49,tadine,NC,78.41,99.0,17.69,80.0,2018-04-03
198,64.23,71.62,nadym,RU,6.77,72.0,11.1,68.0,2018-04-03
199,83.59,-90.52,qaanaaq,GL,3.53,81.0,8.08,0.0,2018-04-03
200,8.24,-29.51,sao filipe,CV,69.11,100.0,13.58,32.0,2018-04-03
201,-20.35,155.14,yeppoon,AU,69.8,94.0,11.41,75.0,2018-04-03
202,49.82,139.78,vysokogornyy,RU,17.75,67.0,10.98,68.0,2018-04-03
203,44.88,32.22,zaozerne,UA,45.83,83.0,10.65,32.0,2018-04-03
204,35.91,-82.16,elizabethton,US,78.8,39.0,13.87,20.0,2018-04-03
205,-23.24,-26.91,caravelas,BR,81.29,100.0,14.79,0.0,2018-04-03
206,16.86,-127.6,guerrero negro,MX,67.7,59.0,11.77,0.0,2018-04-03
207,66.67,117.55,nyurba,RU,6.05,73.0,2.59,68.0,2018-04-03
208,-10.15,162.07,kirakira,SB,82.82,100.0,10.42,80.0,2018-04-03
209,-35.92,-50.1,chuy,UY,69.23,92.0,8.75,32.0,2018-04-03
210,84.92,30.03,mehamn,NO,32.0,86.0,23.04,75.0,2018-04-03
211,-0.4,143.01,aitape,PG,80.39,96.0,6.62,76.0,2018-04-03
212,45.77,-120.13,grandview,US,41.0,69.0,25.28,90.0,2018-04-03
213,50.61,103.28,bayangol,MN,30.98,60.0,11.43,92.0,2018-04-03
214,-45.23,158.89,te anau,NZ,52.58,86.0,16.91,36.0,2018-04-03
215,44.34,-139.92,sitka,US,51.14,34.0,28.43,0.0,2018-04-03
216,-26.22,153.91,coolum beach,AU,68.15,100.0,9.64,92.0,2018-04-03
217,46.84,123.59,hulan ergi,CN,21.26,54.0,7.63,0.0,2018-04-03
218,-4.35,36.98,naberera,TZ,65.9,94.0,4.27,92.0,2018-04-03
219,57.27,109.35,alekseyevsk,RU,20.18,63.0,5.61,64.0,2018-04-03
220,17.99,83.51,poladpur,IN,71.3,97.0,5.17,0.0,2018-04-03
221,31.08,78.04,barkot,IN,52.55,79.0,3.4,0.0,2018-04-03
222,33.58,-114.4,blythe,US,87.8,15.0,4.52,1.0,2018-04-03
223,78.28,39.75,ostrovnoy,RU,28.07,93.0,3.51,80.0,2018-04-03
224,24.89,-92.12,progreso,UY,68.0,94.0,5.82,20.0,2018-04-03
225,50.99,90.24,teeli,RU,-5.15,57.0,4.52,20.0,2018-04-03
226,-12.68,-25.82,sao jose da coroa grande,BR,77.03,95.0,5.3,92.0,2018-04-03
227,-0.33,70.66,thinadhoo,MV,84.23,100.0,3.62,76.0,2018-04-03
228,22.02,131.3,nishihara,JP,60.8,77.0,1.36,1.0,2018-04-03
229,36.94,26.5,skala,GR,46.4,87.0,4.7,0.0,2018-04-03
230,-37.25,-44.6,cidreira,BR,69.02,94.0,2.84,88.0,2018-04-03
231,40.1,-99.4,kearney,US,37.4,47.0,17.22,1.0,2018-04-03
232,54.39,-29.27,grindavik,IS,30.2,74.0,14.99,40.0,2018-04-03
233,-34.11,146.32,griffith,AU,73.43,64.0,7.2,0.0,2018-04-03
234,14.11,-37.58,porto novo,BR,69.8,94.0,3.36,75.0,2018-04-03
235,53.47,157.8,yelizovo,RU,30.2,74.0,15.66,75.0,2018-04-03
