City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
160,hutchinson,90,US,1526850480,64,38.06,-97.93,68.0,9.17
161,zdvinsk,0,RU,1526852119,48,54.7,78.67,53.75,17.18
162,college,1,US,1526849880,34,64.86,-147.8,66.2,13.87
163,bunbury,0,GB,1526849400,58,53.12,-2.65,62.6,6.93
164,auki,0,NG,1526852120,57,12.18,6.51,83.27,11.25
165,avera,90,US,1526849700,78,33.19,-82.53,78.8,4.7
166,bontang,68,ID,1526852121,100,0.12,117.47,80.39,5.99
167,campina verde,0,BR,1526852121,66,-19.54,-49.49,58.97,4.99
168,inongo,48,CD,1526852121,94,-1.93,18.29,74.27,4.09
169,lysyye gory,44,RU,1526852122,61,51.55,44.84,65.54,6.22
170,araouane,0,ML,1526852122,20,18.9,-3.53,87.41,3.53
171,tuktoyaktuk,32,CA,1526850000,100,69.44,-133.03,30.2,14.99
172,soe,0,EE,1526849400,66,57.91,26.05,48.2,2.24
173,kruisfontein,0,ZA,1526852123,97,-34.0,24.73,62.66,12.15
174,waingapu,0,ID,1526852123,86,-9.65,120.26,73.64,8.79
175,kargasok,92,RU,1526852124,95,59.06,80.87,45.02,8.12
176,pangnirtung,75,CA,1526846400,73,66.15,-65.72,23.0,11.41
177,pangody,92,RU,1526852124,98,65.85,74.49,35.66,8.46
178,pitimbu,40,BR,1526850000,83,-7.47,-34.81,78.8,9.17
179,salalah,20,OM,1526849400,83,17.01,54.1,84.2,3.36
180,verkhnyaya inta,0,RU,1526852125,91,65.99,60.32,25.22,2.75
181,balaipungut,92,ID,1526851836,97,1.11,101.31,76.25,2.75
182,kahului,40,US,1526849640,69,20.89,-156.47,80.6,24.16
183,namibe,0,AO,1526852126,96,-15.19,12.15,68.69,14.61
184,lensk,88,RU,1526852127,58,60.71,114.91,41.69,6.44
185,tabou,0,CI,1526852127,100,4.42,-7.36,82.64,8.23
186,lazaro cardenas,20,MX,1526849280,16,28.39,-105.62,91.4,6.93
187,pevek,24,RU,1526852128,87,69.7,170.27,36.29,8.12
188,leningradskiy,8,RU,1526852128,100,69.38,178.42,23.24,19.75
189,brae,92,GB,1526849400,93,60.4,-1.35,51.8,12.75
190,metro,48,ID,1526852129,97,-5.11,105.31,76.88,0.96
191,havre-saint-pierre,40,CA,1526846400,75,50.23,-63.6,46.4,20.8
192,kavaratti,80,IN,1526852129,100,10.57,72.64,83.09,8.46
193,arlit,36,NE,1526852130,16,18.74,7.39,88.76,1.63
194,sinnar,0,IN,1526852130,96,19.85,74.0,64.1,3.98
195,sao joao da barra,20,BR,1526850000,73,-21.64,-41.05,71.6,16.11
196,upata,76,VE,1526852131,75,8.02,-62.41,78.32,7.67
197,iracoubo,92,GF,1526852131,80,5.48,-53.21,79.49,5.77
198,necochea,92,AR,1526852070,79,-38.55,-58.74,53.66,8.46
199,north bend,90,US,1526850900,67,43.41,-124.22,59.0,14.99
200,port macquarie,0,AU,1526850000,70,-31.43,152.91,48.2,6.93
201,karachi,0,PK,1526851500,29,24.87,67.03,87.8,6.93
202,chumikan,0,RU,1526852132,98,54.72,135.31,41.24,3.53
