Year,Department,County,Pop of Jurisdaiction,"Employee Rate Per 1,000 Pop.",Total Personnel,Sworn Male ,Sworn Female,Civilian Male,Civilian Female
2011,BRISTOL,Hart,"60,589",0.96,138,104,8,15,11
2011,BROOKFIELD,Fair,"16,482",2.49,41,30,1,6,4
2011,CANTON,Hart,"10,311",1.94,20,15,0,3,2
2011,CHESHIRE,NH,"29,315",2.05,60,44,4,4,8
2011,CLINTON,MidSex,"13,285",2.56,34,22,2,5,5
2011,COVENTRY,Toll,"12,458",1.53,19,11,3,2,3
2011,CROMWELL,MidSex,"14,031",2.49,35,23,3,2,7
2011,DANBURY,Fair,"81,043",1.88,152,134,11,0,7
2011,DARIEN,Fair,"20,770",2.79,58,45,6,3,4
2011,DERBY,NH,"12,926",2.55,33,29,2,1,1
2011,EAST HAMPTON,Midsex,"12,983",1.31,17,15,0,0,2
2011,EAST HARTFORD,Hart,"51,347",3.08,158,110,10,13,25
2011,EAST HAVEN,NH,"29,311",1.77,52,44,5,1,2
2011,EAST WINDSOR,Hart,"11,183",2.68,30,22,1,0,7
2011,EASTON,Fair,"7,504",2.13,16,14,1,0,1
2011,ENFIELD,Hart,"44,737",2.5,112,79,10,12,11
2011,FAIRFIELD,Fair,"59,514",1.87,111,98,7,1,5
2011,FARMINGTON,Hart,"25,387",2.44,62,41,4,9,8
2011,GLASTONBURY,Hart,"34,491",2.12,73,50,7,6,10
2011,GRANBY,Hart,"11,303",1.59,18,12,1,1,4
2011,GREENWICH,Fair,"61,284",2.87,176,136,12,15,13
2011,GROTON CITY,NL,"10,408",3.27,34,26,1,2,5
2011,GROTON LONG PT.,NL,519,13.49,7,6,1,0,0
2011,GROTON TOWN,NL,"29,262",2.36,69,56,9,0,4
2011,GUILFORD,NH,"22,416",2.01,45,32,5,1,7
2011,HAMDEN,NH,"61,073",2.03,124,102,4,9,9
2011,HARTFORD,Hart,"125,006",4.09,511,393,47,39,32
2011,MADISON,NH,"18,303",2.08,38,24,3,4,7
2011,MANCHESTER,Hart,"58,349",2.59,151,102,15,19,15
2011,MERIDEN,NH,"60,981",2.18,133,111,8,6,8
2011,MIDDLEBURY,NH,"7,589",2.24,17,10,1,3,3
2011,MIDDLETOWN,MidSex,"47,736",2.35,112,86,11,3,12
2011,MILFORD,NH,"52,857",2.33,123,99,9,2,13
2011,MONROE,Fair,"19,515",2.46,48,32,6,6,4
2011,NAUGATUCK,NH,"31,921",2.19,70,54,4,3,9
2011,NEW BRITAIN,Hart,"73,341",2.07,152,127,13,2,10
2011,NEW CANAAN,Fair,"19,775",2.48,49,42,2,1,4
2011,NEW HAVEN,NH,"130,019",4.05,527,299,60,90,78
2011,NEW LONDON,NL,"27,671",4.05,112,83,12,6,11
2011,NEW MILFORD,Litch,"28,194",2.23,63,45,4,7,7
2011,NEWINGTON,Hart,"30,619",2.09,64,45,7,6,6
2011,NEWTOWN,Fair,"27,611",1.81,50,40,6,1,3
2011,NORTH BRANFORD,NH,"14,434",1.87,27,22,0,2,3
2011,NORTH HAVEN,NH,"24,138",2.4,58,46,2,3,7
2011,NORWALK,Fair,"85,761",2.34,201,152,12,22,15
2011,NORWICH,NL,"40,568",2.22,90,69,5,5,11
2011,OLD SAYBROOK,MidSex,"10,261",3.02,31,24,1,5,1
2011,ORANGE,NH,"13,982",3.65,51,36,4,5,6
2011,PLAINFIELD,Wind,"15,433",1.23,19,16,0,1,2
2011,PLAINVILLE,Hart,"17,749",2.31,41,33,1,5,2
2011,PLYMOUTH,Litch,"12,266",1.88,23,21,2,0,0
2011,PORTLAND,MidSex,"9,526",1.26,12,11,0,0,1
2011,PUTNAM MUNICIPAL,Wind,"7,202",2.5,18,14,1,2,1
2011,REDDING,Fair,"9,175",2.29,21,14,1,6,0
2011,RIDGEFIELD,Fair,"24,684",1.74,43,34,3,3,3
2011,ROCKY HILL,Hart,"19,745",2.03,40,28,3,5,4
2011,SEYMOUR,NH,"16,571",2.47,41,37,2,0,2
2011,SHELTON,Fair,"39,632",1.54,61,49,3,5,4
2011,SIMSBURY,Hart,"23,554",1.91,45,31,4,2,8
2011,SOUTH WINDSOR,Hart,"25,757",2.14,55,35,7,4,9
2011,SOUTHINGTON,Hart,"43,149",2.02,87,63,3,13,8
2011,STAMFORD,Fair,"122,870",2.37,291,252,22,9,8
2011,STONINGTON,NL,"18,579",2.53,47,32,3,5,7
2011,STRATFORD,Fair,"51,479",1.96,101,85,9,2,5
2011,SUFFIELD,Hart,"15,764",1.46,23,18,0,2,3
2011,THOMASTON,Litch,"7,902",1.77,14,10,1,3,0
2011,TORRINGTON,Litch,"36,450",2.47,90,79,4,2,5
